"channel","station","station_id","usable_inventory_present","usable_row_count","pricing_status","missing_for_completion","coverage_type","catalog_health","broadcast_frequency","current_province_codes","current_city_labels","current_language_display","current_primary_languages","current_target_audience","current_audience_age_skew","current_audience_gender_skew","current_audience_lsm_range","current_audience_keywords","current_listenership_daily","current_listenership_weekly","current_usable_provinces","current_usable_cities","current_usable_languages","current_usable_rate_types","current_usable_slot_labels","current_usable_package_names","current_cost_zar_example","current_raw_rate_zar_example","current_investment_zar_example","current_cost_per_month_zar_example","current_value_zar_example","engine_buying_behaviour_fit","engine_price_positioning_fit","engine_sales_model_fit","engine_objective_fit_primary","engine_objective_fit_secondary","engine_environment_type","engine_premium_mass_fit","engine_data_confidence","fill_include_in_system","fill_supplier_or_owner","fill_sales_contact","fill_contact_email","fill_contact_phone","fill_rate_card_received","fill_numeric_spot_rate_30sec_zar","fill_numeric_spot_rate_notes","fill_package_name_1","fill_package_price_1_zar","fill_package_name_2","fill_package_price_2_zar","fill_package_name_3","fill_package_price_3_zar","fill_rate_card_currency","fill_pricing_source","fill_booking_route","fill_station_frequency_confirmed","fill_primary_languages","fill_age_skew","fill_gender_skew","fill_lsm_range","fill_audience_keywords","fill_buying_behaviour_fit","fill_price_positioning_fit","fill_sales_model_fit","fill_objective_fit_primary","fill_objective_fit_secondary","fill_environment_type","fill_premium_mass_fit","fill_data_confidence","fill_import_priority","fill_notes"
"radio","Ligwalagwala FM","radio_ligwalagwala_fm","no","0","numeric_pricing_ready_for_import","ready_for_import_or_review","regional","unknown","","mpumalanga","","isiSwati","siswati","Young, motivated, upwardly mobile Black SiSwati-speaking listeners.","Young-adult leaning","Balanced","LSM 3-6","isiSwati | Mpumalanga | young | upwardly mobile | music | talk","1277000","","","","","","03:00-05:00 | 05:00-06:00 | 06:00-09:00 | 09:00-10:00 | 10:00-12:00 | 12:00-15:00 | 15:00-17:00 | 17:00-18:00 | 18:00-19:00 | 19:00-21:00 | 21:00-24:00 | 00:00-03:00 | 03:00-06:00 | 06:00-07:00 | 07:00-09:00 | 12:00-14:30 | 14:30-18:00 | 18:00-21:00 | 07:00-10:00 | 15:00-18:00 | 19:00-20:00 | 20:00-22:00 | 22:00-24:00","","","1170","","","",,,,,,,,,"","","","","","","","","","","","","","","ZAR","","","","","","","","","","","","","","","","","",""
"radio","Lotus FM","radio_lotus_fm","no","0","numeric_pricing_ready_for_import","ready_for_import_or_review","regional","unknown","","kwazulu_natal","","English","english","South African Indian community, primarily KwaZulu-Natal","Adults 15+","Balanced","LSM 5-8","KZN | English | regional","237000","","","","","","00:00-05:00 | 05:00-06:00 | 06:00-09:00 | 09:00-12:00 | 12:00-12:30 | 12:30-15:00 | 15:00-18:00 | 18:00-19:00 | 19:00-21:00 | 21:00-24:00 | 12:00-13:00 | 13:00-15:00 | 18:00-21:00 | 00:00-06:00 | 15:00-17:00 | 17:00-19:00 | 19:00-22:00 | 22:00-24:00","","","210","","","",,,,,,,,,"","","","","","","","","","","","","","","ZAR","","","","","","","","","","","","","","","","","",""
"radio","Metro FM","radio_metro_fm","yes","29","loaded_in_usable_inventory","review_and_complete_any_gaps","national","mixed","","national","","English","english","Urban, aspirant, influential black market; youthful urban adults.","Adults 15+; youthful urban adults","Male-leaning","LSM 5-9","national | urban | commercial | aspirational | influential | music | news | lifestyle","4629000","","national","","english","spot","00:00-03:00 | 03:00-05:00 | 03:00-06:00 | 05:00-06:00 | 06:00-07:00 | 06:00-09:00 | 07:00-08:00 | 08:00-09:00 | 09:00-12:00 | 12:00-15:00 | 15:00-16:00 | 15:00-18:00 | 16:00-17:00 | 17:00-18:00 | 18:00-19:00 | 19:00-21:00 | 19:00-22:00","","960","960","","","",,,,,,,,,"","","","","","","","","","","","","","","ZAR","","","","","","","","","","","","","","","","","",""
"radio","Motsweding FM","radio_motsweding_fm","no","0","numeric_pricing_ready_for_import","ready_for_import_or_review","regional","unknown","","north_west","","Setswana","setswana","Setswana-speaking and understanding South Africans.","Adults 15+","Balanced","LSM 3-7","Setswana | North West | community | music | talk","3042000","","","","","","00:00-03:00 | 03:00-05:00 | 05:00-06:00 | 06:00-09:00 | 09:00-12:00 | 12:00-15:00 | 15:00-18:00 | 18:00-19:00 | 19:00-20:00 | 20:00-24:00 | 03:00-06:00 | 12:00-13:00 | 13:00-15:00 | 18:00-21:00 | 21:00-24:00 | 18:00-20:00 | 20:00-21:00","","","480","","","",,,,,,,,,"","","","","","","","","","","","","","","ZAR","","","","","","","","","","","","","","","","","",""
"radio","Munghana Lonene FM","radio_munghana_lonene_fm","no","0","numeric_pricing_ready_for_import","ready_for_import_or_review","regional","unknown","","limpopo | mpumalanga | gauteng | north_west","","Xitsonga","xitsonga","Xitsonga-speaking family-oriented audience across multiple provinces.","Adults 15+","Balanced","LSM 3-6","Xitsonga | family | community | multi-province | music | talk","1424000","","","","","","00:00-03:00 | 03:00-05:00 | 05:00-06:00 | 06:00-09:00 | 09:00-12:00 | 12:00-14:00 | 14:00-15:00 | 15:00-18:00 | 18:00-19:00 | 19:00-22:00 | 22:00-24:00 | 03:00-06:00 | 06:00-07:00 | 07:00-09:00 | 14:00-18:00 | 18:00-20:00 | 20:00-21:00 | 21:00-24:00 | 06:00-08:00 | 08:00-09:00 | 09:00-10:00 | 10:00-11:00 | 11:00-13:00 | 13:00-14:00 | 19:00-21:00","","","540","","","",,,,,,,,,"","","","","","","","","","","","","","","ZAR","","","","","","","","","","","","","","","","","",""
"radio","Phalaphala FM","radio_phalaphala_fm","no","0","numeric_pricing_ready_for_import","ready_for_import_or_review","regional","unknown","","limpopo | gauteng | north_west | mpumalanga","","Tshivenda","tshivenda","Rural and urban Tshivenda-speaking and understanding audiences.","Adults 15+","Balanced","LSM 3-6","Tshivenda | Limpopo | community | urban/rural | music | talk","1119000","","","","","","00:00-03:00 | 03:00-05:00 | 05:00-06:00 | 06:00-07:00 | 07:00-09:00 | 09:00-12:00 | 12:00-15:00 | 15:00-18:00 | 18:00-19:00 | 19:00-20:00 | 20:00-21:00 | 21:00-24:00 | 03:00-06:00 | 09:00-11:00 | 11:00-12:00 | 12:00-14:00 | 14:00-18:00 | 18:00-21:00 | 07:00-10:00 | 10:00-12:00","","","300","","","",,,,,,,,,"","","","","","","","","","","","","","","ZAR","","","","","","","","","","","","","","","","","",""
"radio","Radio 2000","radio_radio_2000","no","0","numeric_pricing_ready_for_import","ready_for_import_or_review","national","unknown","","national","","English","english","Adults 35+; sport fans, talk radio listeners, English/Afrikaans bilingual","Adults 15+","Male-leaning","LSM 5-9","national | English | music | talk","1929000","","","","","","00:00-04:00 | 04:00-06:00 | 06:00-09:00 | 09:00-12:00 | 12:00-15:00 | 15:00-18:00 | 18:00-19:00 | 19:00-21:00 | 21:00-24:00 | 00:00-03:00 | 03:00-06:00 | 18:00-21:00 | 19:00-22:00 | 22:00-24:00","","","420","","","",,,,,,,,,"","","","","","","","","","","","","","","ZAR","","","","","","","","","","","","","","","","","",""
"radio","RSG","radio_rsg","no","0","numeric_pricing_ready_for_import","ready_for_import_or_review","national","unknown","","national","","Afrikaans","afrikaans","Afrikaans-speaking adults 35+; news, talk and music; Western Cape, Gauteng, Karoo","Adults 15+","Balanced","LSM 6-10","national | Afrikaans | talk | music | news","1265000","","","","","","05:00-06:00 | 06:00-07:00 | 07:00-09:00 | 09:00-12:00 | 12:00-13:00 | 13:00-15:00 | 15:00-18:00 | 18:00-19:00 | 19:00-21:00 | 21:00-24:00 | 06:00-10:00 | 10:00-12:00 | 18:00-21:00 | 06:00-09:00 | 12:00-15:00 | 18:00-20:00 | 20:00-21:00","","","4410","","","",,,,,,,,,"","","","","","","","","","","","","","","ZAR","","","","","","","","","","","","","","","","","",""
"radio","SAfm","radio_safm","no","0","numeric_pricing_ready_for_import","ready_for_import_or_review","national","unknown","","national","","English","english","English-speaking professionals, opinion leaders, educated adults 35+","Adults 15+","Male-leaning","LSM 8-10","national | English | news | talk","566000","","","","","","00:00-03:00 | 03:00-05:00 | 05:00-06:00 | 06:00-09:00 | 09:00-12:00 | 12:00-13:00 | 13:00-15:00 | 15:00-18:00 | 18:00-19:00 | 19:00-20:00 | 20:00-22:00 | 22:00-24:00 | 03:00-06:00 | 06:00-07:00 | 07:00-10:00 | 10:00-13:00 | 13:00-16:00 | 16:00-19:00 | 19:00-21:00 | 21:00-22:00","","","300","","","",,,,,,,,,"","","","","","","","","","","","","","","ZAR","","","","","","","","","","","","","","","","","",""
"radio","Smile 90.4FM","radio_smile_90_4fm","yes","14","loaded_in_usable_inventory","review_and_complete_any_gaps","regional","strong","90.4 FM","western_cape","Cape Town | Paarl | Stellenbosch | Somerset West | Southern Suburbs | Northern Suburbs | Atlantic Seaboard | Winelands","English/Afrikaans","english | afrikaans","Cape Town metro lifestyle audience.","35-49","Female-leaning","LSM 8-10","Cape Town | adult contemporary | bilingual | lifestyle | metro | community | travel | mobility","","455000","western_cape","Winelands","english/afrikaans","package | spot","00:00-04:00 | 00:00-06:00 | 04:00-06:00 | 06:00-09:00 | 09:00-13:00 | 13:00-16:00 | 16:00-19:00 | 19:00-21:00 | 21:00-00:00","Impact Plus Package - Feature Sponsorship | Impact Plus Package - Generics | Impact Plus Package - Social Media | Impact Plus Package - Social Media Boosting","185","185","44438","","59250",,,,,,,,,"","","","","","","","","","","","","","","ZAR","","","","","","","","","","","","","","","","","",""
"radio","Ukhozi FM","radio_ukhozi_fm","no","0","numeric_pricing_ready_for_import","ready_for_import_or_review","regional","unknown","","kwazulu_natal","","isiZulu","isizulu","Mass isiZulu-speaking audience in KZN and beyond.","Adults 15+","Balanced","LSM 4-8","isiZulu | KZN | mass reach | community | music | talk","7546000","","","","","","00:00-03:00 | 03:00-05:00 | 05:00-06:00 | 06:00-09:00 | 09:00-12:00 | 12:00-12:30 | 12:30-15:00 | 15:00-18:00 | 18:00-19:00 | 19:00-20:00 | 20:00-24:00 | 03:00-06:00 | 06:00-07:00 | 07:00-09:00 | 12:00-15:00 | 18:00-21:00 | 21:00-24:00 | 15:00-17:00 | 17:00-20:00 | 20:00-21:00","","","900","","","",,,,,,,,,"","","","","","","","","","","","","","","ZAR","","","","","","","","","","","","","","","","","",""
"radio","XK FM","radio_xk_fm","no","0","numeric_pricing_ready_for_import","ready_for_import_or_review","regional","unknown","","northern_cape","","!Xuntali & Khwedam","unknown","!Xuntali and Khwedam-speaking audience.","Adults 15+","Balanced","LSM 1-4","Northern Cape | indigenous language | community","1000","","","","","","06:00-09:00 | 09:00-12:00 | 12:00-15:00 | 15:00-19:00 | 19:00-21:00 | 21:00-24:00","","","390","","","",,,,,,,,,"","","","","","","","","","","","","","","ZAR","","","","","","","","","","","","","","","","","",""
"radio","YFM 99.2","radio_y","yes","3","loaded_in_usable_inventory","review_and_complete_any_gaps","regional","strong","99.2 FM","gauteng","Johannesburg","English","english","Young South Africans / Gen Z and youth audience.","18-35","Male-leaning","LSM 5-9","youth | Gen Z | urban | Johannesburg | hip hop | house | kwaito | R&B","","","gauteng","Johannesburg","english","package","","100 for 100 - Generics + Digital (4 Weeks) | 50 for 50 Package - Generics (4 Weeks) | Live Reads + Digital (1 Week)","118252","","118252","","601400",,,,,,,,,"","","","","","","","","","","","","","","ZAR","","","","","","","","","","","","","","","","","",""
"tv","e.tv","tv_e_tv","no","0","missing_numeric_prices","yes_fill_required","national","unknown","","national","","","unknown","Black urban South Africans 18-49; mass-market entertainment and local content","18-49","Balanced","LSM 5-9","TV | national","","","","","","","","","","","","","",,,,,,,,,"","","","","","","","","","","","","","","ZAR","","","","","","","","","","","","","","","","","",""
"tv","SABC 1","tv_sabc_1","yes","5","loaded_in_usable_inventory","review_and_complete_any_gaps","national","strong","","national","","","unknown","Youthful South Africa; wide demographic spanning rural, peri-urban and urban audiences for flagship dramas.","Youthful / broad mass market","Balanced","LSM 4-8","youthful South Africa | storytelling | drama | mass reach | national","","","national","","unknown","Amalanga Awafani | Generation The Legacy | Good Men | Skeem Saam S13 | Uzalo S11","18:30-19:00 | 19:30-20:00 | 20:00-20:30 | 20:30-21:00","","110000","110000","","","",,,,,,,,,"","","","","","","","","","","","","","","ZAR","","","","","","","","","","","","","","","","","",""
"tv","SABC 3","tv_sabc_3","no","","numeric_pricing_ready_for_import","ready_for_import_or_review","national","strong","","national","","","unknown","English-speaking adults 25-54, LSM 7-10; reality TV, soaps, news","25-54","Female-leaning","LSM 7-10","national TV | news package","","","national","","unknown","package","","Weekly SABC 3 & SABC News Channel News Package","105540","","105540","","238500",,,,,,,,,"","","","","","","","","","","","","","","ZAR","","","","","","","","","","","","","","","","","",""
"tv","SABC News Channel","tv_sabc_news_channel","yes","2","loaded_in_usable_inventory","review_and_complete_any_gaps","national","strong","","national","","","unknown","News/current affairs viewers","25-54","Male-leaning","LSM 7-10","news | current affairs | national","","","national","","unknown","package","","4 Week SABC News Channel Package | Weekly SABC News Channel Only Audience Reach Maximiser","550825","","550825","","1304000",,,,,,,,,"","","","","","","","","","","","","","","ZAR","","","","","","","","","","","","","","","","","",""
"tv","SABC Sport","tv_sabc_sport","yes","42","loaded_in_usable_inventory","review_and_complete_any_gaps","national","strong","","national","","","unknown","Sports viewers","18-49","Male-leaning (70%+)","LSM 5-9","sport | live events | national","","","national","","unknown","Boxing World Weekly | Build Up | Bundesliga Match | Bundesliga Preview | Bundesliga Review | CAF CCC / CCL | EFC Live Fight | Final Analysis | Fut Afrique | G.O.A.Ts Like Us | Game On | Hollywoodbets Super League | Laduma | Liverpool TV | Magazine | NBA Action | NBA Lifestyle | NBA Match | package | Playing For The Coach | Premier League Stories | Racing Today | Redbull Clip Show | Redbull Doccies | Redbull Signature | Redbull Soapbox | Redbull Ultimate Rush | Retro Match | SAFA TV | Soccer Premier League (2000/1) | Soccerzone | Soccerzone Extra | Sport Playback | Sports Preview 411 | Sports Wrap | Sportsbuzz | The Greatest Of All Times | TKO Boxing | Top 14 H/Ls | Top 14 Rugby | TotalEnergies AFCON Qualifiers | VS Gaming","00:00-23:59","4 Week SABC Sport Channel Package","2886","2886","822500","","2025000",,,,,,,,,"","","","","","","","","","","","","","","ZAR","","","","","","","","","","","","","","","","","",""
