station_name,row_kind,slot,day_group,package_name,broadcast_frequency,coverage_type,province_codes,city_labels,language_codes,target_audience,existing_audience_age_skew,existing_audience_gender_skew,existing_audience_lsm_range,station_tier,station_format,audience_income_fit,premium_mass_fit,price_positioning_fit,youth_fit,family_fit,professional_fit,commuter_fit,high_value_client_fit,business_decision_maker_fit,morning_drive_fit,workday_fit,afternoon_drive_fit,evening_fit,weekend_fit,urban_rural_fit,language_context_fit,buying_behaviour_fit,brand_safety_fit,objective_fit_primary,objective_fit_secondary,audience_age_skew,audience_gender_skew,content_environment,presenter_or_show_context,primary_audience_tags,secondary_audience_tags,recommendation_tags,intelligence_notes,source_urls,data_confidence,updated_by,internal_key,media_outlet_code,source_type
Kaya 959,station,,,,95.9 FM,regional,gauteng,Johannesburg; Gauteng,english,"Urban black middle-class Gauteng audience, influential and aspirational.",25-49,Male-leaning,LSM 7-10,,,,,,,,,,,,,,,,,,,,,,,,,,,urban; black middle class; aspirational; culture; music; news; talk; Gauteng,,,Enriched via web research April 2026; SABC data from SABC Rate Card FY2024-2025 (eff. July 2024) + BRC RAMS Amplify Jan'22-Dec'23. Cross-check with BRC TAMS/RAMS for TV.,https://www.kaya959.co.za/; https://www.unitedstations.co.za/kaya-959/; https://www.app-1302.iono.fm/s/82,,,radio_kaya_959|station,radio_kaya_959,radio_station
Kaya 959,slot,06:00-09:00,saturday,,95.9 FM,regional,gauteng,Johannesburg; Gauteng,english,"Urban black middle-class Gauteng audience, influential and aspirational.",25-49,Male-leaning,LSM 7-10,,,,,,,,,,,,,,,,,,,,,,,,,,,urban; black middle class; aspirational; culture; music; news; talk; Gauteng,,,,https://www.kaya959.co.za/; https://www.unitedstations.co.za/kaya-959/; https://www.app-1302.iono.fm/s/82,,,radio_kaya_959|slot|saturday|06:00-09:00,radio_kaya_959,radio_slot
Kaya 959,slot,09:00-12:00,saturday,,95.9 FM,regional,gauteng,Johannesburg; Gauteng,english,"Urban black middle-class Gauteng audience, influential and aspirational.",25-49,Male-leaning,LSM 7-10,,,,,,,,,,,,,,,,,,,,,,,,,,,urban; black middle class; aspirational; culture; music; news; talk; Gauteng,,,,https://www.kaya959.co.za/; https://www.unitedstations.co.za/kaya-959/; https://www.app-1302.iono.fm/s/82,,,radio_kaya_959|slot|saturday|09:00-12:00,radio_kaya_959,radio_slot
Kaya 959,slot,12:00-15:00,saturday,,95.9 FM,regional,gauteng,Johannesburg; Gauteng,english,"Urban black middle-class Gauteng audience, influential and aspirational.",25-49,Male-leaning,LSM 7-10,,,,,,,,,,,,,,,,,,,,,,,,,,,urban; black middle class; aspirational; culture; music; news; talk; Gauteng,,,,https://www.kaya959.co.za/; https://www.unitedstations.co.za/kaya-959/; https://www.app-1302.iono.fm/s/82,,,radio_kaya_959|slot|saturday|12:00-15:00,radio_kaya_959,radio_slot
Kaya 959,slot,15:00-18:00,saturday,,95.9 FM,regional,gauteng,Johannesburg; Gauteng,english,"Urban black middle-class Gauteng audience, influential and aspirational.",25-49,Male-leaning,LSM 7-10,,,,,,,,,,,,,,,,,,,,,,,,,,,urban; black middle class; aspirational; culture; music; news; talk; Gauteng,,,,https://www.kaya959.co.za/; https://www.unitedstations.co.za/kaya-959/; https://www.app-1302.iono.fm/s/82,,,radio_kaya_959|slot|saturday|15:00-18:00,radio_kaya_959,radio_slot
Kaya 959,slot,18:00-20:00,saturday,,95.9 FM,regional,gauteng,Johannesburg; Gauteng,english,"Urban black middle-class Gauteng audience, influential and aspirational.",25-49,Male-leaning,LSM 7-10,,,,,,,,,,,,,,,,,,,,,,,,,,,urban; black middle class; aspirational; culture; music; news; talk; Gauteng,,,,https://www.kaya959.co.za/; https://www.unitedstations.co.za/kaya-959/; https://www.app-1302.iono.fm/s/82,,,radio_kaya_959|slot|saturday|18:00-20:00,radio_kaya_959,radio_slot
Kaya 959,slot,20:00-00:00,saturday,,95.9 FM,regional,gauteng,Johannesburg; Gauteng,english,"Urban black middle-class Gauteng audience, influential and aspirational.",25-49,Male-leaning,LSM 7-10,,,,,,,,,,,,,,,,,,,,,,,,,,,urban; black middle class; aspirational; culture; music; news; talk; Gauteng,,,,https://www.kaya959.co.za/; https://www.unitedstations.co.za/kaya-959/; https://www.app-1302.iono.fm/s/82,,,radio_kaya_959|slot|saturday|20:00-00:00,radio_kaya_959,radio_slot
Kaya 959,slot,00:00-05:00,sunday,,95.9 FM,regional,gauteng,Johannesburg; Gauteng,english,"Urban black middle-class Gauteng audience, influential and aspirational.",25-49,Male-leaning,LSM 7-10,,,,,,,,,,,,,,,,,,,,,,,,,,,urban; black middle class; aspirational; culture; music; news; talk; Gauteng,,,,https://www.kaya959.co.za/; https://www.unitedstations.co.za/kaya-959/; https://www.app-1302.iono.fm/s/82,,,radio_kaya_959|slot|sunday|00:00-05:00,radio_kaya_959,radio_slot
Kaya 959,slot,05:00-06:00,sunday,,95.9 FM,regional,gauteng,Johannesburg; Gauteng,english,"Urban black middle-class Gauteng audience, influential and aspirational.",25-49,Male-leaning,LSM 7-10,,,,,,,,,,,,,,,,,,,,,,,,,,,urban; black middle class; aspirational; culture; music; news; talk; Gauteng,,,,https://www.kaya959.co.za/; https://www.unitedstations.co.za/kaya-959/; https://www.app-1302.iono.fm/s/82,,,radio_kaya_959|slot|sunday|05:00-06:00,radio_kaya_959,radio_slot
Kaya 959,slot,06:00-09:00,sunday,,95.9 FM,regional,gauteng,Johannesburg; Gauteng,english,"Urban black middle-class Gauteng audience, influential and aspirational.",25-49,Male-leaning,LSM 7-10,,,,,,,,,,,,,,,,,,,,,,,,,,,urban; black middle class; aspirational; culture; music; news; talk; Gauteng,,,,https://www.kaya959.co.za/; https://www.unitedstations.co.za/kaya-959/; https://www.app-1302.iono.fm/s/82,,,radio_kaya_959|slot|sunday|06:00-09:00,radio_kaya_959,radio_slot
Kaya 959,slot,09:00-12:00,sunday,,95.9 FM,regional,gauteng,Johannesburg; Gauteng,english,"Urban black middle-class Gauteng audience, influential and aspirational.",25-49,Male-leaning,LSM 7-10,,,,,,,,,,,,,,,,,,,,,,,,,,,urban; black middle class; aspirational; culture; music; news; talk; Gauteng,,,,https://www.kaya959.co.za/; https://www.unitedstations.co.za/kaya-959/; https://www.app-1302.iono.fm/s/82,,,radio_kaya_959|slot|sunday|09:00-12:00,radio_kaya_959,radio_slot
Kaya 959,slot,12:00-15:00,sunday,,95.9 FM,regional,gauteng,Johannesburg; Gauteng,english,"Urban black middle-class Gauteng audience, influential and aspirational.",25-49,Male-leaning,LSM 7-10,,,,,,,,,,,,,,,,,,,,,,,,,,,urban; black middle class; aspirational; culture; music; news; talk; Gauteng,,,,https://www.kaya959.co.za/; https://www.unitedstations.co.za/kaya-959/; https://www.app-1302.iono.fm/s/82,,,radio_kaya_959|slot|sunday|12:00-15:00,radio_kaya_959,radio_slot
Kaya 959,slot,15:00-18:00,sunday,,95.9 FM,regional,gauteng,Johannesburg; Gauteng,english,"Urban black middle-class Gauteng audience, influential and aspirational.",25-49,Male-leaning,LSM 7-10,,,,,,,,,,,,,,,,,,,,,,,,,,,urban; black middle class; aspirational; culture; music; news; talk; Gauteng,,,,https://www.kaya959.co.za/; https://www.unitedstations.co.za/kaya-959/; https://www.app-1302.iono.fm/s/82,,,radio_kaya_959|slot|sunday|15:00-18:00,radio_kaya_959,radio_slot
Kaya 959,slot,18:00-20:00,sunday,,95.9 FM,regional,gauteng,Johannesburg; Gauteng,english,"Urban black middle-class Gauteng audience, influential and aspirational.",25-49,Male-leaning,LSM 7-10,,,,,,,,,,,,,,,,,,,,,,,,,,,urban; black middle class; aspirational; culture; music; news; talk; Gauteng,,,,https://www.kaya959.co.za/; https://www.unitedstations.co.za/kaya-959/; https://www.app-1302.iono.fm/s/82,,,radio_kaya_959|slot|sunday|18:00-20:00,radio_kaya_959,radio_slot
Kaya 959,slot,20:00-00:00,sunday,,95.9 FM,regional,gauteng,Johannesburg; Gauteng,english,"Urban black middle-class Gauteng audience, influential and aspirational.",25-49,Male-leaning,LSM 7-10,,,,,,,,,,,,,,,,,,,,,,,,,,,urban; black middle class; aspirational; culture; music; news; talk; Gauteng,,,,https://www.kaya959.co.za/; https://www.unitedstations.co.za/kaya-959/; https://www.app-1302.iono.fm/s/82,,,radio_kaya_959|slot|sunday|20:00-00:00,radio_kaya_959,radio_slot
Kaya 959,package,,,Weekend Package,95.9 FM,regional,gauteng,Johannesburg; Gauteng,english,"Urban black middle-class Gauteng audience, influential and aspirational.",25-49,Male-leaning,LSM 7-10,,,,,,,,,,,,,,,,,,,,,,,,,,,urban; black middle class; aspirational; culture; music; news; talk; Gauteng,,,,https://www.kaya959.co.za/; https://www.unitedstations.co.za/kaya-959/; https://www.app-1302.iono.fm/s/82,,,radio_kaya_959|package|Weekend Package,radio_kaya_959,radio_package
Kaya 959,package,,,Retail Package,95.9 FM,regional,gauteng,Johannesburg; Gauteng,english,"Urban black middle-class Gauteng audience, influential and aspirational.",25-49,Male-leaning,LSM 7-10,,,,,,,,,,,,,,,,,,,,,,,,,,,urban; black middle class; aspirational; culture; music; news; talk; Gauteng,,,,https://www.kaya959.co.za/; https://www.unitedstations.co.za/kaya-959/; https://www.app-1302.iono.fm/s/82,,,radio_kaya_959|package|Retail Package,radio_kaya_959,radio_package
Kaya 959,package,,,Powerweek,95.9 FM,regional,gauteng,Johannesburg; Gauteng,english,"Urban black middle-class Gauteng audience, influential and aspirational.",25-49,Male-leaning,LSM 7-10,,,,,,,,,,,,,,,,,,,,,,,,,,,urban; black middle class; aspirational; culture; music; news; talk; Gauteng,,,,https://www.kaya959.co.za/; https://www.unitedstations.co.za/kaya-959/; https://www.app-1302.iono.fm/s/82,,,radio_kaya_959|package|Powerweek,radio_kaya_959,radio_package
Kaya 959,package,,,Lunch Time,95.9 FM,regional,gauteng,Johannesburg; Gauteng,english,"Urban black middle-class Gauteng audience, influential and aspirational.",25-49,Male-leaning,LSM 7-10,,,,,,,,,,,,,,,,,,,,,,,,,,,urban; black middle class; aspirational; culture; music; news; talk; Gauteng,,,,https://www.kaya959.co.za/; https://www.unitedstations.co.za/kaya-959/; https://www.app-1302.iono.fm/s/82,,,radio_kaya_959|package|Lunch Time,radio_kaya_959,radio_package
Kaya 959,package,,,Workzone,95.9 FM,regional,gauteng,Johannesburg; Gauteng,english,"Urban black middle-class Gauteng audience, influential and aspirational.",25-49,Male-leaning,LSM 7-10,,,,,,,,,,,,,,,,,,,,,,,,,,,urban; black middle class; aspirational; culture; music; news; talk; Gauteng,,,,https://www.kaya959.co.za/; https://www.unitedstations.co.za/kaya-959/; https://www.app-1302.iono.fm/s/82,,,radio_kaya_959|package|Workzone,radio_kaya_959,radio_package
