station_name,row_kind,slot,day_group,package_name,broadcast_frequency,coverage_type,province_codes,city_labels,language_codes,target_audience,existing_audience_age_skew,existing_audience_gender_skew,existing_audience_lsm_range,station_tier,station_format,audience_income_fit,premium_mass_fit,price_positioning_fit,youth_fit,family_fit,professional_fit,commuter_fit,high_value_client_fit,business_decision_maker_fit,morning_drive_fit,workday_fit,afternoon_drive_fit,evening_fit,weekend_fit,urban_rural_fit,language_context_fit,buying_behaviour_fit,brand_safety_fit,objective_fit_primary,objective_fit_secondary,audience_age_skew,audience_gender_skew,content_environment,presenter_or_show_context,primary_audience_tags,secondary_audience_tags,recommendation_tags,intelligence_notes,source_urls,data_confidence,updated_by,internal_key,media_outlet_code,source_type
Lotus FM,station,,,,"24/7 terrestrial FM; primarily KZN, serving Indian South African community",regional,kwazulu_natal,Durban; KwaZulu-Natal,english,"South African Indian community, primarily KwaZulu-Natal",Adults 15+,Balanced,LSM 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,KZN; English; regional,,,"Pricing guidance: Weekday Breakfast (06:00–09:00): R2,500–R4,000 per 30"" spot; Drive (16:00–18:00): R2,000–R3,500 (SABC FY2024-2025 rate card) | Enriched via web research April 2026; SABC data from SABC Rate Card FY2024-2025 (eff. July 2024) + BRC RAMS Amplify Jan'22-Dec'23. Cross-check with BRC TAMS/RAMS for TV.",,,,radio_lotus_fm|station,radio_lotus_fm,radio_station
Lotus FM,slot,00:00-05:00,saturday,,"24/7 terrestrial FM; primarily KZN, serving Indian South African community",regional,kwazulu_natal,Durban; KwaZulu-Natal,english,"South African Indian community, primarily KwaZulu-Natal",Adults 15+,Balanced,LSM 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,KZN; English; regional,,,,,,,radio_lotus_fm|slot|saturday|00:00-05:00,radio_lotus_fm,radio_slot
Lotus FM,slot,05:00-06:00,saturday,,"24/7 terrestrial FM; primarily KZN, serving Indian South African community",regional,kwazulu_natal,Durban; KwaZulu-Natal,english,"South African Indian community, primarily KwaZulu-Natal",Adults 15+,Balanced,LSM 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,KZN; English; regional,,,,,,,radio_lotus_fm|slot|saturday|05:00-06:00,radio_lotus_fm,radio_slot
Lotus FM,slot,06:00-09:00,saturday,,"24/7 terrestrial FM; primarily KZN, serving Indian South African community",regional,kwazulu_natal,Durban; KwaZulu-Natal,english,"South African Indian community, primarily KwaZulu-Natal",Adults 15+,Balanced,LSM 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,KZN; English; regional,,,,,,,radio_lotus_fm|slot|saturday|06:00-09:00,radio_lotus_fm,radio_slot
Lotus FM,slot,09:00-12:00,saturday,,"24/7 terrestrial FM; primarily KZN, serving Indian South African community",regional,kwazulu_natal,Durban; KwaZulu-Natal,english,"South African Indian community, primarily KwaZulu-Natal",Adults 15+,Balanced,LSM 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,KZN; English; regional,,,,,,,radio_lotus_fm|slot|saturday|09:00-12:00,radio_lotus_fm,radio_slot
Lotus FM,slot,12:00-13:00,saturday,,"24/7 terrestrial FM; primarily KZN, serving Indian South African community",regional,kwazulu_natal,Durban; KwaZulu-Natal,english,"South African Indian community, primarily KwaZulu-Natal",Adults 15+,Balanced,LSM 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,KZN; English; regional,,,,,,,radio_lotus_fm|slot|saturday|12:00-13:00,radio_lotus_fm,radio_slot
Lotus FM,slot,13:00-15:00,saturday,,"24/7 terrestrial FM; primarily KZN, serving Indian South African community",regional,kwazulu_natal,Durban; KwaZulu-Natal,english,"South African Indian community, primarily KwaZulu-Natal",Adults 15+,Balanced,LSM 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,KZN; English; regional,,,,,,,radio_lotus_fm|slot|saturday|13:00-15:00,radio_lotus_fm,radio_slot
Lotus FM,slot,15:00-18:00,saturday,,"24/7 terrestrial FM; primarily KZN, serving Indian South African community",regional,kwazulu_natal,Durban; KwaZulu-Natal,english,"South African Indian community, primarily KwaZulu-Natal",Adults 15+,Balanced,LSM 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,KZN; English; regional,,,,,,,radio_lotus_fm|slot|saturday|15:00-18:00,radio_lotus_fm,radio_slot
Lotus FM,slot,18:00-21:00,saturday,,"24/7 terrestrial FM; primarily KZN, serving Indian South African community",regional,kwazulu_natal,Durban; KwaZulu-Natal,english,"South African Indian community, primarily KwaZulu-Natal",Adults 15+,Balanced,LSM 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,KZN; English; regional,,,,,,,radio_lotus_fm|slot|saturday|18:00-21:00,radio_lotus_fm,radio_slot
Lotus FM,slot,21:00-24:00,saturday,,"24/7 terrestrial FM; primarily KZN, serving Indian South African community",regional,kwazulu_natal,Durban; KwaZulu-Natal,english,"South African Indian community, primarily KwaZulu-Natal",Adults 15+,Balanced,LSM 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,KZN; English; regional,,,,,,,radio_lotus_fm|slot|saturday|21:00-24:00,radio_lotus_fm,radio_slot
Lotus FM,slot,00:00-06:00,sunday,,"24/7 terrestrial FM; primarily KZN, serving Indian South African community",regional,kwazulu_natal,Durban; KwaZulu-Natal,english,"South African Indian community, primarily KwaZulu-Natal",Adults 15+,Balanced,LSM 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,KZN; English; regional,,,,,,,radio_lotus_fm|slot|sunday|00:00-06:00,radio_lotus_fm,radio_slot
Lotus FM,slot,06:00-09:00,sunday,,"24/7 terrestrial FM; primarily KZN, serving Indian South African community",regional,kwazulu_natal,Durban; KwaZulu-Natal,english,"South African Indian community, primarily KwaZulu-Natal",Adults 15+,Balanced,LSM 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,KZN; English; regional,,,,,,,radio_lotus_fm|slot|sunday|06:00-09:00,radio_lotus_fm,radio_slot
Lotus FM,slot,09:00-12:00,sunday,,"24/7 terrestrial FM; primarily KZN, serving Indian South African community",regional,kwazulu_natal,Durban; KwaZulu-Natal,english,"South African Indian community, primarily KwaZulu-Natal",Adults 15+,Balanced,LSM 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,KZN; English; regional,,,,,,,radio_lotus_fm|slot|sunday|09:00-12:00,radio_lotus_fm,radio_slot
Lotus FM,slot,12:00-13:00,sunday,,"24/7 terrestrial FM; primarily KZN, serving Indian South African community",regional,kwazulu_natal,Durban; KwaZulu-Natal,english,"South African Indian community, primarily KwaZulu-Natal",Adults 15+,Balanced,LSM 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,KZN; English; regional,,,,,,,radio_lotus_fm|slot|sunday|12:00-13:00,radio_lotus_fm,radio_slot
Lotus FM,slot,13:00-15:00,sunday,,"24/7 terrestrial FM; primarily KZN, serving Indian South African community",regional,kwazulu_natal,Durban; KwaZulu-Natal,english,"South African Indian community, primarily KwaZulu-Natal",Adults 15+,Balanced,LSM 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,KZN; English; regional,,,,,,,radio_lotus_fm|slot|sunday|13:00-15:00,radio_lotus_fm,radio_slot
Lotus FM,slot,15:00-17:00,sunday,,"24/7 terrestrial FM; primarily KZN, serving Indian South African community",regional,kwazulu_natal,Durban; KwaZulu-Natal,english,"South African Indian community, primarily KwaZulu-Natal",Adults 15+,Balanced,LSM 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,KZN; English; regional,,,,,,,radio_lotus_fm|slot|sunday|15:00-17:00,radio_lotus_fm,radio_slot
Lotus FM,slot,17:00-19:00,sunday,,"24/7 terrestrial FM; primarily KZN, serving Indian South African community",regional,kwazulu_natal,Durban; KwaZulu-Natal,english,"South African Indian community, primarily KwaZulu-Natal",Adults 15+,Balanced,LSM 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,KZN; English; regional,,,,,,,radio_lotus_fm|slot|sunday|17:00-19:00,radio_lotus_fm,radio_slot
Lotus FM,slot,19:00-22:00,sunday,,"24/7 terrestrial FM; primarily KZN, serving Indian South African community",regional,kwazulu_natal,Durban; KwaZulu-Natal,english,"South African Indian community, primarily KwaZulu-Natal",Adults 15+,Balanced,LSM 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,KZN; English; regional,,,,,,,radio_lotus_fm|slot|sunday|19:00-22:00,radio_lotus_fm,radio_slot
Lotus FM,slot,22:00-24:00,sunday,,"24/7 terrestrial FM; primarily KZN, serving Indian South African community",regional,kwazulu_natal,Durban; KwaZulu-Natal,english,"South African Indian community, primarily KwaZulu-Natal",Adults 15+,Balanced,LSM 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,KZN; English; regional,,,,,,,radio_lotus_fm|slot|sunday|22:00-24:00,radio_lotus_fm,radio_slot
